"","model","dist","BIC","deltaBIC_withinmodels","deltaBIC_acrossmodels"
"1","CP","Gamma",5709.90371647138,25.9,53.3
"2","CP","Lognormal",5684.03576033668,0,27.5
"3","CP","Weibull",5698.50051373427,14.5,41.9
"4","PP","Gamma",5699.55170214167,43,43
"5","PP","Lognormal",5677.05726220476,20.5,20.5
"6","PP","Weibull",5694.37266847871,37.8,37.8
"7","PP","Multi",5656.57263795741,0,0
"8","NP","Gamma",5753.47955024558,40.3,96.9
"9","NP","Lognormal",5732.90536495128,19.8,76.3
"10","NP","Weibull",5748.61112928415,35.5,92
"11","NP","Multi",5713.13527238802,0,56.6
