Species,Bird #,Name,Date,Time in,Time out,Calc # Min,# Min,R/P,Seed cond,Notes
PTPL,14,Mateo,15-Feb-04,7:51:00,7:56:00,0:05,5,R,THREAD,
PTPL,14,Mateo,14-Feb-04,9:52:00,9:57:00,0:05,5,R,THREAD,
PTPL,,Guapo,30-Apr-04,8:57:00,9:05:00,0:08,8,R,,NO THREAD
PTPL,22,Mae,1-Apr-04,7:05:00,7:14:00,0:09,9,R,THREAD,
PTPL,22,Mae,31-Mar-04,13:24:00,13:33:00,0:09,9,R,THREAD,
PTPL,22,Mae,31-Mar-04,14:07:00,14:16:00,0:09,9,R,THREAD,
PTPL,22,Mae,31-Mar-04,11:16:00,11:26:00,0:10,10,R,THREAD,
PTPL,14,Mateo,14-Feb-04,8:34:00,8:44:00,0:10,10,R,,NO THREAD
PTPL,14,Mateo,14-Feb-04,15:20:00,15:30:00,0:10,10,R,THREAD,
PTPL,22,Mae,1-Apr-04,10:13:00,10:24:00,0:11,11,R,THREAD,
PTPL,22,Mae,31-Mar-04,11:29:00,11:40:00,0:11,11,R,,NO THREAD
PTPL,14,Mateo,14-Feb-04,9:46:00,9:57:00,0:11,11,R,THREAD,
PTPL,,Guapo,30-Apr-04,7:36:00,7:48:00,0:12,12,R,,
PTPL,22,Mae,1-Apr-04,7:51:00,8:03:00,0:12,12,R,THREAD,
PTPL,22,Mae,1-Apr-04,7:52:00,8:04:00,0:12,12,R,THREAD,
PTPL,22,Mae,1-Apr-04,10:59:00,11:11:00,0:12,12,R,,NO THREAD
PTPL,22,Mae,31-Mar-04,13:23:00,13:35:00,0:12,12,R,,NO THREAD
PTPL,,Guapo,30-Apr-04,8:58:00,9:11:00,0:13,13,R,THREAD,
PTPL,,Guapo,30-Apr-04,7:35:00,7:50:00,0:15,15,R,THREAD,
PTPL,,Guapo,30-Apr-04,8:57:00,9:12:00,0:15,15,R,,NO THREAD
PTPL,22,Mae,31-Mar-04,11:45:00,12:00:00,0:15,15,R,THREAD,
PTPL,22,Mae,31-Mar-04,15:12:00,15:27:00,0:15,15,R,THREAD,
PTPL,22,Mae,31-Mar-04,15:34:00,15:49:00,0:15,15,R,THREAD,
PTPL,22,Mae,31-Mar-04,16:01:00,16:16:00,0:15,15,R,,NO THREAD
PTPL,,Guapo,30-Apr-04,6:13:00,6:29:00,0:16,16,R,THREAD,
PTPL,,Guapo,30-Apr-04,10:17:00,10:33:00,0:16,16,R,THREAD,
PTPL,,Guapo,29-Apr-04,14:14:00,14:30:00,0:16,16,R,THREAD,
