SITE,Bird_ID,DATE,Time_ID,T_intervals,T_minutes,X_Estimate,Y_Estimate
TBS,1,4-Dec-02,5,,0,371957.416,68746.3281
TBS,1,4-Dec-02,7,2,30,373257.0816,68308.8543
TBS,1,20-Dec-02,8,,0,371892.1013,70040.6707
TBS,1,20-Dec-02,10,2,30,371597.9724,69275.3761
TBS,1,29-Dec-02,2,,0,371490.3057,69394.9521
TBS,1,29-Dec-02,6,4,60,371386.0588,69512.8758
TBS,1,14-Jan-03,4,,0,371499.3608,69323.9927
TBS,1,16-Jan-03,1,,0,371296.567,70028.5723
TBS,1,16-Jan-03,3,2,30,371582.6421,69254.2757
TBS,1,20-Jan-03,8,,0,372135.7016,69832.8644
TBS,1,20-Jan-03,9,1,15,371915.5797,69820.023
TBS,1,22-Jan-03,2,,0,372612.2267,69699.8637
TBS,1,22-Jan-03,5,3,45,371926.5045,69901.2491
TBS,1,22-Jan-03,8,3,45,371564.8893,69547.832
TBS,1,22-Jan-03,9,1,15,371412.8897,69466.205
TBS,1,22-Jan-03,11,2,30,371653.8007,69163.1968
TBS,1,25-Jan-03,1,,0,371426.6025,69466.2578
TBS,1,25-Jan-03,2,1,15,371716.3221,69246.5679
TBS,1,25-Jan-03,3,1,15,371574.5075,69373.7141
TBS,1,25-Jan-03,7,4,60,371670.1733,69491.8515
TBS,1,25-Jan-03,8,1,15,373532.1249,67557.6933
TBS,1,25-Jan-03,10,2,30,375150.8311,69332.7134
TBS,1,25-Jan-03,12,2,30,371485.6246,69389.7532
TBS,1,25-Jan-03,13,1,15,371436.9289,69415.3251
TBS,1,28-Jan-03,1,,0,371558.3304,69311.4181
TBS,1,28-Jan-03,2,1,15,371551.5794,69302.7772
TBS,1,28-Jan-03,3,1,15,371915.5797,69820.023
TBS,1,28-Jan-03,4,1,15,371775.2232,70026.5123
TBS,1,28-Jan-03,5,1,15,371544.7187,69293.9959
TBS,1,28-Jan-03,6,1,15,371548.1639,69298.4057
TBS,1,28-Jan-03,7,1,15,371868.1019,70120.4185
TBS,1,30-Jan-03,1,,0,372497.82,70513.91
TBS,1,30-Jan-03,7,6,90,371580.9698,69388.2284
TBS,1,30-Jan-03,8,1,15,371376.5767,69813.2794
TBS,1,30-Jan-03,9,1,15,371860.7479,69637.0555
TBS,1,3-Feb-03,1,,0,371490.3057,69394.9521
TBS,1,3-Feb-03,2,1,15,371895.3995,69470.487
TBS,1,3-Feb-03,4,2,30,371440.6448,69419.1731
TBS,1,18-Feb-03,1,,0,372002.0701,69074.1479
TBS,1,18-Feb-03,5,4,60,371568.2917,69324.1681
TBS,1,18-Feb-03,6,1,15,371484.9275,69427.7158
TBS,1,18-Feb-03,7,1,15,371492.8658,69411.7295
TBS,1,20-Feb-03,4,,0,372372.6339,70435.6851
TBS,1,24-Feb-03,2,,0,372651.4019,70375.6243
TBS,1,24-Feb-03,4,2,30,372632.8711,70297.7831
TBS,1,24-Feb-03,6,2,30,372302.9452,70159.0064
TBS,1,24-Feb-03,7,1,15,372346.3269,70003.2669
TBS,1,24-Feb-03,9,2,30,370900.4523,68538.4397
TBS,1,24-Feb-03,10,1,15,372360.2986,70337.8906
TBS,1,24-Feb-03,11,1,15,372374.9269,70341.2457
TBS,1,6-Mar-03,2,,0,372172.8354,70097.9487
TBS,1,7-Mar-03,2,,0,372869.5809,69814.7294
TBS,1,7-Mar-03,4,2,30,372419.344,69616.925
TBS,1,7-Mar-03,5,1,15,372332.4777,70294.4933
TBS,1,7-Mar-03,6,1,15,372287.6429,70414.1398
TBS,1,7-Mar-03,7,1,15,372333.6619,70223.3445
