TRANS,DATE,TIME,X_Estimate,Y_Estimate
1,4-Dec-02,07:15:00 AM,371957.4160,68746.3281
1,4-Dec-02,07:45:00 AM,373257.0816,68308.8543
1,20-Dec-02,08:00:00 AM,371892.1013,70040.6707
1,20-Dec-02,08:30:00 AM,371597.9724,69275.3761
1,29-Dec-02,06:30:00 AM,371490.3057,69394.9521
1,29-Dec-02,07:30:00 AM,371386.0588,69512.8758
1,14-Jan-03,07:00:00 AM,371499.3608,69323.9927
1,16-Jan-03,06:15:00 AM,371296.5670,70028.5723
1,16-Jan-03,06:45:00 AM,371582.6421,69254.2757
1,20-Jan-03,08:00:00 AM,372135.7016,69832.8644
1,20-Jan-03,08:15:00 AM,371915.5797,69820.0230
1,22-Jan-03,06:30:00 AM,372612.2267,69699.8637
1,22-Jan-03,07:15:00 AM,371926.5045,69901.2491
1,22-Jan-03,08:00:00 AM,371564.8893,69547.8320
1,22-Jan-03,08:15:00 AM,371412.8897,69466.2050
1,22-Jan-03,08:45:00 AM,371653.8007,69163.1968
1,25-Jan-03,06:15:00 AM,371426.6025,69466.2578
1,25-Jan-03,06:30:00 AM,371716.3221,69246.5679
1,25-Jan-03,06:45:00 AM,371574.5075,69373.7141
1,25-Jan-03,07:45:00 AM,371670.1733,69491.8515
1,25-Jan-03,08:00:00 AM,373532.1249,67557.6933
1,25-Jan-03,08:30:00 AM,375150.8311,69332.7134
1,25-Jan-03,09:00:00 AM,371485.6246,69389.7532
1,25-Jan-03,09:15:00 AM,371436.9289,69415.3251
1,28-Jan-03,06:15:00 AM,371558.3304,69311.4181
1,28-Jan-03,06:30:00 AM,371551.5794,69302.7772
1,28-Jan-03,06:45:00 AM,371915.5797,69820.0230
1,28-Jan-03,07:00:00 AM,371775.2232,70026.5123
1,28-Jan-03,07:15:00 AM,371544.7187,69293.9959
1,28-Jan-03,07:30:00 AM,371548.1639,69298.4057
1,28-Jan-03,07:45:00 AM,371868.1019,70120.4185
1,30-Jan-03,06:15:00 AM,372497.8200,70513.9100
1,30-Jan-03,07:45:00 AM,371580.9698,69388.2284
1,30-Jan-03,08:00:00 AM,371376.5767,69813.2794
1,30-Jan-03,08:15:00 AM,371860.7479,69637.0555
1,3-Feb-03,06:15:00 AM,371490.3057,69394.9521
1,3-Feb-03,06:30:00 AM,371895.3995,69470.4870
1,3-Feb-03,07:00:00 AM,371440.6448,69419.1731
1,18-Feb-03,06:15:00 AM,372002.0701,69074.1479
1,18-Feb-03,07:15:00 AM,371568.2917,69324.1681
1,18-Feb-03,07:30:00 AM,371484.9275,69427.7158
1,18-Feb-03,07:45:00 AM,371492.8658,69411.7295
1,20-Feb-03,07:00:00 AM,372372.6339,70435.6851
1,24-Feb-03,06:30:00 AM,372651.4019,70375.6243
1,24-Feb-03,07:00:00 AM,372632.8711,70297.7831
1,24-Feb-03,07:30:00 AM,372302.9452,70159.0064
1,24-Feb-03,07:45:00 AM,372346.3269,70003.2669
1,24-Feb-03,08:15:00 AM,370900.4523,68538.4397
1,24-Feb-03,08:30:00 AM,372360.2986,70337.8906
1,24-Feb-03,08:45:00 AM,372374.9269,70341.2457
1,6-Mar-03,06:30:00 AM,372172.8354,70097.9487
1,7-Mar-03,06:30:00 AM,372869.5809,69814.7294
1,7-Mar-03,07:00:00 AM,372419.3440,69616.9250
1,7-Mar-03,07:15:00 AM,372332.4777,70294.4933
1,7-Mar-03,07:30:00 AM,372287.6429,70414.1398
1,7-Mar-03,07:45:00 AM,372333.6619,70223.3445
1,7-Mar-03,08:00:00 AM,372434.0817,70078.4468
1,7-Mar-03,08:45:00 AM,372760.0039,70409.1066
1,14-Mar-03,06:15:00 AM,372634.5998,70267.1527
3,4-Dec-02,07:15:00 AM,371458.5956,69437.7617
3,20-Dec-02,07:00:00 AM,371976.2951,69024.3505
3,20-Dec-02,08:00:00 AM,371331.9547,69919.8720
3,20-Dec-02,08:15:00 AM,371744.5440,69097.2038
3,29-Dec-02,06:30:00 AM,371418.8080,69471.9202
3,29-Dec-02,07:00:00 AM,372410.3368,68548.1434
3,29-Dec-02,07:15:00 AM,372535.5564,69793.8568
3,29-Dec-02,07:45:00 AM,373722.8812,69153.3417
3,14-Jan-03,06:15:00 AM,372567.1904,68527.4025
3,14-Jan-03,06:30:00 AM,374191.7458,67328.0988
3,14-Jan-03,07:00:00 AM,371710.5597,69150.3352
3,16-Jan-03,06:45:00 AM,371447.9223,69426.7091
3,16-Jan-03,07:00:00 AM,371380.6976,69508.0485
3,16-Jan-03,07:15:00 AM,372104.7428,69931.1492
3,16-Jan-03,07:30:00 AM,371074.5702,70051.4681
3,20-Jan-03,06:30:00 AM,371594.1885,69270.1680
3,20-Jan-03,06:45:00 AM,373769.2792,67658.1660
3,20-Jan-03,07:15:00 AM,371578.1074,69336.7316
3,20-Jan-03,07:45:00 AM,371896.0503,69796.7488
3,20-Jan-03,08:00:00 AM,371922.0051,69874.4028
3,20-Jan-03,08:15:00 AM,371524.1197,69951.7438
3,20-Jan-03,08:45:00 AM,371562.3279,69399.0339
3,22-Jan-03,06:30:00 AM,371548.3182,69382.3378
3,22-Jan-03,07:00:00 AM,371628.5819,69513.9660
3,22-Jan-03,07:30:00 AM,371004.6657,70085.7549
3,22-Jan-03,07:45:00 AM,371466.0735,69402.1774
3,22-Jan-03,08:00:00 AM,372000.8036,69829.8257
3,22-Jan-03,08:15:00 AM,371433.4982,69455.2073
3,22-Jan-03,08:30:00 AM,371460.3606,69439.5894
3,25-Jan-03,06:15:00 AM,371568.2917,69324.1681
3,25-Jan-03,06:45:00 AM,371435.6381,69374.8594
3,25-Jan-03,07:00:00 AM,370640.1300,70119.0458
3,25-Jan-03,07:45:00 AM,371500.1774,69366.2534
3,25-Jan-03,08:15:00 AM,372581.9524,70479.9183
3,25-Jan-03,08:45:00 AM,374278.6579,67671.2622
3,25-Jan-03,09:00:00 AM,371997.0955,69771.5554
3,25-Jan-03,09:15:00 AM,372034.4343,69999.2681
3,28-Jan-03,06:15:00 AM,371511.3487,69338.2793
3,28-Jan-03,06:30:00 AM,371502.4010,69327.6158
3,28-Jan-03,06:45:00 AM,371548.1639,69298.4057
3,28-Jan-03,07:00:00 AM,371551.5794,69302.7772
3,28-Jan-03,07:15:00 AM,372925.2309,68440.7032
3,28-Jan-03,07:45:00 AM,371478.5125,69381.8544
3,30-Jan-03,06:15:00 AM,371528.6564,69358.9058
3,30-Jan-03,06:30:00 AM,372497.8200,70513.9100
3,30-Jan-03,06:45:00 AM,373375.0865,67966.1430
3,30-Jan-03,07:00:00 AM,371448.8034,69908.2600
3,30-Jan-03,07:15:00 AM,371607.5402,69525.1541
3,30-Jan-03,07:45:00 AM,372083.4050,70053.6555
3,30-Jan-03,08:00:00 AM,371118.3738,69717.4864
3,30-Jan-03,08:15:00 AM,372278.5402,68948.0658
3,3-Feb-03,06:15:00 AM,371517.1916,69345.2426
3,3-Feb-03,06:30:00 AM,370848.2189,69977.9221
3,3-Feb-03,07:00:00 AM,371665.8645,69522.4241
3,3-Feb-03,07:15:00 AM,371641.0121,69562.3284
3,3-Feb-03,07:30:00 AM,371682.4071,69542.1387
3,18-Feb-03,06:15:00 AM,372225.7655,68578.1413
3,18-Feb-03,06:30:00 AM,372049.8760,68717.3046
3,18-Feb-03,07:15:00 AM,371416.5176,69505.5792
3,20-Feb-03,06:15:00 AM,372292.7195,70209.8360
3,20-Feb-03,06:45:00 AM,372050.6640,70568.8138
3,20-Feb-03,07:00:00 AM,372305.8116,70346.9997
3,20-Feb-03,07:15:00 AM,372384.1157,70395.6482
3,24-Feb-03,06:30:00 AM,372640.1245,70267.4314
3,24-Feb-03,06:45:00 AM,372652.5604,70102.0094
3,24-Feb-03,07:00:00 AM,372482.3128,70069.8425
3,24-Feb-03,07:15:00 AM,372516.4117,70189.9405
3,24-Feb-03,07:30:00 AM,372292.0332,70326.3696
3,24-Feb-03,07:45:00 AM,372316.2955,70312.3066
3,24-Feb-03,08:00:00 AM,372289.2028,70325.5870
3,24-Feb-03,08:15:00 AM,372192.1003,69817.6350
3,24-Feb-03,08:30:00 AM,372406.3022,70375.0976
3,24-Feb-03,08:45:00 AM,372369.9239,70381.4698
3,6-Mar-03,06:45:00 AM,372306.9474,70269.6042
3,6-Mar-03,07:00:00 AM,372286.2916,70360.2256
3,6-Mar-03,07:15:00 AM,372335.9588,70306.7371
3,6-Mar-03,07:30:00 AM,372353.3910,70242.2785
3,6-Mar-03,07:45:00 AM,372361.4492,70339.3633
3,6-Mar-03,08:00:00 AM,372365.4700,69884.2238
3,7-Mar-03,06:15:00 AM,372583.7544,70389.9234
3,7-Mar-03,06:30:00 AM,373092.3870,69347.0065
3,7-Mar-03,06:45:00 AM,372414.5549,69921.4478
3,7-Mar-03,07:15:00 AM,372182.6990,69325.4235
3,7-Mar-03,07:30:00 AM,372412.9968,70151.9554
3,7-Mar-03,07:45:00 AM,372434.0862,70168.4323
3,7-Mar-03,08:00:00 AM,372521.3234,70127.1272
3,7-Mar-03,08:15:00 AM,372541.9978,69836.0632
3,7-Mar-03,08:45:00 AM,372729.3701,70425.8900
3,14-Mar-03,06:15:00 AM,372542.1429,70430.5508
3,14-Mar-03,06:30:00 AM,372680.7164,70371.0157
3,14-Mar-03,06:45:00 AM,372733.9265,70459.4005
3,14-Mar-03,07:15:00 AM,371940.2982,70265.6853
3,14-Mar-03,07:30:00 AM,372350.6122,69923.4918
5,29-Dec-02,07:15:00 AM,372113.8774,68538.6967
5,29-Dec-02,07:30:00 AM,372033.9647,69941.0964
5,29-Dec-02,07:45:00 AM,371878.2576,69801.1850
5,16-Jan-03,07:00:00 AM,372726.0090,69718.1202
5,16-Jan-03,07:15:00 AM,372637.6079,69856.2599
5,20-Jan-03,07:45:00 AM,371429.3851,69482.1344
5,22-Jan-03,06:15:00 AM,371956.4199,69113.3404
5,22-Jan-03,06:30:00 AM,372337.0064,70308.0780
5,22-Jan-03,07:00:00 AM,371511.9184,69252.0135
5,22-Jan-03,07:15:00 AM,372013.8507,68980.9810
5,22-Jan-03,07:30:00 AM,372049.8760,68717.3046
5,22-Jan-03,07:45:00 AM,371438.7944,69417.2569
5,22-Jan-03,08:00:00 AM,371841.6943,69810.3013
5,22-Jan-03,08:15:00 AM,371607.5402,69525.1541
5,22-Jan-03,08:30:00 AM,371726.3953,69201.3631
5,22-Jan-03,08:45:00 AM,373012.6282,68163.1041
5,25-Jan-03,06:15:00 AM,371748.2965,69155.4600
5,25-Jan-03,06:30:00 AM,371875.8718,68479.6092
5,25-Jan-03,06:45:00 AM,372380.6947,70451.6333
5,25-Jan-03,07:45:00 AM,372891.2358,67714.6110
5,25-Jan-03,08:30:00 AM,372862.8423,70258.3186
5,25-Jan-03,08:45:00 AM,371865.3973,69576.3048
5,25-Jan-03,09:00:00 AM,372393.4151,70241.9259
5,25-Jan-03,09:15:00 AM,371511.3487,69338.2793
5,28-Jan-03,06:15:00 AM,371522.9557,69352.1120
5,28-Jan-03,07:00:00 AM,371514.2810,69341.7739
5,28-Jan-03,07:15:00 AM,374161.6328,69908.3317
5,28-Jan-03,07:30:00 AM,371517.1916,69345.2426
5,28-Jan-03,07:45:00 AM,372091.0857,69993.3138
5,30-Jan-03,06:15:00 AM,371519.5630,71860.3652
5,30-Jan-03,06:45:00 AM,372497.8200,70513.9100
5,30-Jan-03,07:00:00 AM,371565.0487,69362.0333
5,30-Jan-03,07:45:00 AM,370722.2781,70038.1550
5,30-Jan-03,08:15:00 AM,371126.9432,69874.6596
5,3-Feb-03,07:00:00 AM,371144.9528,69882.5846
5,3-Feb-03,07:15:00 AM,371895.3995,69470.4870
5,3-Feb-03,07:30:00 AM,371823.3740,69650.6585
5,18-Feb-03,06:15:00 AM,372833.0107,67784.0010
5,18-Feb-03,07:15:00 AM,372042.4213,68925.7461
5,18-Feb-03,07:30:00 AM,371511.9102,69371.0141
5,18-Feb-03,07:45:00 AM,371571.7891,69287.0663
5,20-Feb-03,06:15:00 AM,372309.9514,70224.6178
5,20-Feb-03,07:00:00 AM,371085.9568,68706.8075
5,24-Feb-03,06:15:00 AM,372593.5654,70436.4310
5,24-Feb-03,06:30:00 AM,372517.5729,70445.0235
5,24-Feb-03,06:45:00 AM,372482.7426,70298.2927
5,24-Feb-03,07:00:00 AM,372475.4146,70177.5430
5,24-Feb-03,07:15:00 AM,372600.1019,70044.9769
5,24-Feb-03,07:30:00 AM,372289.1694,70383.5307
5,24-Feb-03,07:45:00 AM,372304.0387,70212.1843
5,24-Feb-03,08:00:00 AM,372310.5846,70290.7715
5,24-Feb-03,08:30:00 AM,372573.8113,69973.2041
5,24-Feb-03,08:45:00 AM,372447.4226,70155.3141
7,28-Jan-03,07:00:00 AM,372616.0378,71355.0736
7,30-Jan-03,06:30:00 AM,372497.8200,70513.9100
7,30-Jan-03,06:45:00 AM,373134.7950,72474.3173
7,30-Jan-03,07:30:00 AM,372554.9222,68878.7170
7,30-Jan-03,08:15:00 AM,372037.2595,71458.1989
7,3-Feb-03,07:00:00 AM,371168.8667,70090.2429
7,3-Feb-03,07:30:00 AM,371374.0266,70016.3039
7,18-Feb-03,07:45:00 AM,372614.2245,70647.8181
7,20-Feb-03,07:45:00 AM,372593.3922,70661.0783
7,24-Feb-03,06:15:00 AM,373334.0476,71684.9255
7,24-Feb-03,06:30:00 AM,372901.2549,71078.5110
7,24-Feb-03,06:45:00 AM,372686.8378,70709.5404
7,24-Feb-03,07:00:00 AM,372844.7824,70848.9677
7,24-Feb-03,07:15:00 AM,372831.3603,70960.9904
7,24-Feb-03,07:30:00 AM,372696.8029,70984.1790
7,24-Feb-03,07:45:00 AM,372709.1274,71108.6851
7,24-Feb-03,08:00:00 AM,372802.2889,70546.6107
7,24-Feb-03,08:15:00 AM,372759.4817,71053.1040
7,24-Feb-03,08:30:00 AM,372824.4949,71242.7407
7,24-Feb-03,08:45:00 AM,372489.4895,70676.6457
7,6-Mar-03,06:15:00 AM,372949.9161,72510.7289
7,6-Mar-03,06:30:00 AM,372518.8827,70613.0022
7,6-Mar-03,06:45:00 AM,372849.2603,70890.8013
7,6-Mar-03,07:00:00 AM,372808.0910,71595.9536
7,6-Mar-03,07:15:00 AM,372597.5413,70725.7625
7,6-Mar-03,07:30:00 AM,372575.0362,70599.6673
7,6-Mar-03,07:45:00 AM,372640.8498,70642.9205
7,6-Mar-03,08:00:00 AM,372781.3937,70520.4502
7,7-Mar-03,06:15:00 AM,372659.6173,70774.6172
7,7-Mar-03,06:30:00 AM,373008.1306,70989.7823
7,7-Mar-03,06:45:00 AM,372740.1887,70748.6363
7,7-Mar-03,07:00:00 AM,372889.4431,71855.0388
7,7-Mar-03,07:15:00 AM,372496.6010,71048.9315
7,7-Mar-03,08:00:00 AM,372535.1706,70725.7355
7,7-Mar-03,08:45:00 AM,372483.0637,70607.0775
7,14-Mar-03,06:15:00 AM,372712.9345,70832.8304
7,14-Mar-03,06:30:00 AM,372649.4771,70715.1657
7,14-Mar-03,06:45:00 AM,372728.2071,70947.2052
7,14-Mar-03,07:15:00 AM,372721.6398,70800.3863
7,14-Mar-03,07:30:00 AM,372669.4995,70685.5895
7,16-Mar-03,06:45:00 AM,372484.4672,71278.8894
7,18-May-03,06:15:00 AM,372663.3127,70945.0333
7,18-May-03,06:30:00 AM,372651.0005,70893.0451
7,18-May-03,07:00:00 AM,372870.2082,70774.6590
7,18-May-03,07:15:00 AM,372892.5182,71037.6922
7,18-May-03,07:30:00 AM,372898.1209,70621.1703
7,18-May-03,07:45:00 AM,372695.0747,70605.8914
7,27-May-03,06:30:00 AM,372961.0068,70457.0378
7,27-May-03,07:00:00 AM,372968.5093,70675.9813
7,27-May-03,07:15:00 AM,372960.2663,70710.2068
7,27-May-03,07:30:00 AM,372712.7221,70799.0947
7,27-May-03,07:45:00 AM,372756.6517,70648.0606
7,27-May-03,08:00:00 AM,372925.9950,71042.6621
7,27-May-03,08:15:00 AM,372811.1865,70887.3657
7,27-May-03,08:30:00 AM,372784.3398,70789.6095
7,27-May-03,08:45:00 AM,372737.7437,70740.5348
7,29-May-03,06:45:00 AM,372786.3671,70491.6999
7,29-May-03,07:00:00 AM,372732.9790,70893.0503
7,29-May-03,07:15:00 AM,372764.5730,70481.0144
7,29-May-03,07:45:00 AM,372574.1496,70690.9467
7,29-May-03,08:00:00 AM,372609.2552,71573.4902
7,29-May-03,08:15:00 AM,372691.4736,70805.1815
7,2-Jun-03,06:15:00 AM,372538.3975,70844.3875
7,2-Jun-03,06:30:00 AM,372506.9355,70588.1495
7,2-Jun-03,06:45:00 AM,372617.4091,71129.1427
7,2-Jun-03,07:30:00 AM,373055.4008,72133.2422
7,2-Jun-03,07:45:00 AM,372862.9318,71055.2105
7,2-Jun-03,08:00:00 AM,372761.5954,71201.0684
7,2-Jun-03,08:15:00 AM,372652.2792,70989.2865
7,2-Jun-03,08:30:00 AM,372520.5651,70947.9119
7,2-Jun-03,08:45:00 AM,372607.2781,70784.8284
7,2-Jun-03,09:00:00 AM,372497.8200,71456.9179
7,2-Jun-03,09:15:00 AM,372686.0506,71170.3480
7,6-Jun-03,06:15:00 AM,372655.1797,70809.8606
7,6-Jun-03,06:30:00 AM,372504.0317,70691.7899
7,6-Jun-03,06:45:00 AM,372588.7658,70763.7814
7,6-Jun-03,07:30:00 AM,372458.4689,70684.3584
7,6-Jun-03,07:45:00 AM,372561.6975,70575.5958
7,12-Jun-03,06:15:00 AM,372604.1207,70698.0282
7,12-Jun-03,06:30:00 AM,372613.3083,70713.9416
7,12-Jun-03,06:45:00 AM,372600.5444,70684.8722
7,12-Jun-03,07:00:00 AM,372607.7325,70712.1975
7,12-Jun-03,07:15:00 AM,372616.4783,70719.4321
7,12-Jun-03,07:30:00 AM,372607.1327,70703.2452
10,5-Apr-04,06:15:00 AM,372580.8365,70489.0200
10,9-Apr-04,06:15:00 AM,372630.5539,70671.2217
10,11-Apr-04,06:15:00 AM,372903.5888,69999.7537
10,20-Apr-04,06:15:00 AM,372611.8053,71038.6682
10,23-Apr-04,06:15:00 AM,372956.8258,70113.6006
10,26-Apr-04,06:15:00 AM,372406.2882,69922.2491
10,28-Apr-04,06:15:00 AM,372440.7964,70687.6876
13,18-Apr-03,06:30:00 AM,372036.2100,71110.5900
13,18-Apr-03,07:00:00 AM,372496.3281,70428.4369
13,18-Apr-03,07:30:00 AM,372457.2192,70351.0692
13,20-Apr-03,06:15:00 AM,372455.6976,70670.3120
13,20-Apr-03,06:30:00 AM,372613.3188,70645.2967
13,20-Apr-03,06:45:00 AM,372553.9914,70767.0700
13,20-Apr-03,07:00:00 AM,372588.0000,70527.5445
13,20-Apr-03,07:15:00 AM,372487.1968,70600.4702
13,20-Apr-03,07:30:00 AM,372492.6551,70773.3824
13,20-Apr-03,07:45:00 AM,372432.8809,70807.3868
13,20-Apr-03,08:00:00 AM,372398.1283,70978.7317
13,20-Apr-03,08:15:00 AM,372369.7066,71044.5639
13,23-Apr-03,06:30:00 AM,372497.8200,70894.8868
13,5-May-03,07:00:00 AM,372577.6387,70061.2358
13,5-May-03,07:15:00 AM,372674.0990,70077.7583
13,5-May-03,07:30:00 AM,373614.8729,67269.7528
13,5-May-03,08:15:00 AM,373145.1949,68521.4949
13,8-May-03,06:15:00 AM,372487.7092,70456.5686
13,8-May-03,06:30:00 AM,372404.9896,70141.5876
13,8-May-03,06:45:00 AM,372246.4135,70154.8643
13,8-May-03,07:00:00 AM,372304.4174,70005.1947
13,8-May-03,07:15:00 AM,372320.4639,70026.6281
13,8-May-03,07:30:00 AM,372486.0618,69840.2804
13,8-May-03,07:45:00 AM,372401.8577,70129.0263
13,8-May-03,08:00:00 AM,372518.3036,69927.3361
13,8-May-03,08:15:00 AM,372611.7075,69212.1704
13,9-May-03,06:15:00 AM,372382.8101,69787.7658
13,15-May-03,06:30:00 AM,372482.5566,69975.3421
13,15-May-03,06:45:00 AM,372421.2424,70092.3973
13,15-May-03,07:00:00 AM,372512.4392,69940.0354
13,15-May-03,07:15:00 AM,372557.8491,69833.4131
13,15-May-03,07:30:00 AM,372273.8171,68382.6652
13,15-May-03,07:45:00 AM,372509.7537,70172.1726
13,15-May-03,08:00:00 AM,372589.8747,69197.4671
13,15-May-03,08:15:00 AM,372553.6971,70082.3767
13,15-May-03,08:30:00 AM,372584.4833,70106.1910
13,15-May-03,08:45:00 AM,372781.1363,70111.7645
13,15-May-03,09:00:00 AM,372658.2127,70013.2021
13,15-May-03,09:15:00 AM,372467.1355,69791.2088
13,15-May-03,09:30:00 AM,372494.6805,69930.7200
13,15-May-03,09:45:00 AM,372521.5850,70045.6025
13,15-May-03,10:00:00 AM,372470.5097,69731.8451
13,15-May-03,10:15:00 AM,372443.6235,69738.8635
13,15-May-03,10:30:00 AM,372059.0706,69776.0305
13,15-May-03,10:45:00 AM,372101.0553,69872.5773
13,15-May-03,11:00:00 AM,370953.1587,68673.0544
13,15-May-03,11:15:00 AM,372535.5820,69432.5468
13,15-May-03,11:30:00 AM,372515.7922,69911.8088
13,15-May-03,11:45:00 AM,372292.7511,69219.1560
13,15-May-03,12:00:00 PM,372550.0969,69795.2997
13,15-May-03,12:15:00 PM,372479.3794,69342.7826
13,15-May-03,12:30:00 PM,372335.6487,69594.1910
13,16-May-03,06:15:00 AM,372863.8550,69648.2855
13,16-May-03,06:30:00 AM,372825.2926,69498.9662
13,16-May-03,06:45:00 AM,372752.7794,69941.2618
13,16-May-03,07:00:00 AM,372748.0898,69786.3715
13,16-May-03,07:15:00 AM,372714.2848,69941.0591
13,16-May-03,07:30:00 AM,372833.5179,69794.0035
13,16-May-03,07:45:00 AM,372973.6867,68088.2202
13,16-May-03,08:00:00 AM,372675.0071,69964.7018
13,18-May-03,06:15:00 AM,372278.6832,69696.0804
13,18-May-03,06:30:00 AM,372619.1901,70027.1209
13,18-May-03,06:45:00 AM,372545.7162,69599.9960
13,18-May-03,07:00:00 AM,372683.4102,69906.8719
13,18-May-03,07:15:00 AM,372698.1061,70084.3951
13,18-May-03,07:30:00 AM,372725.9616,70242.0215
13,18-May-03,07:45:00 AM,372680.2366,70012.7246
17,20-Apr-03,07:00:00 AM,372109.4557,71984.6531
17,20-Apr-03,07:45:00 AM,372182.0821,72271.0404
17,20-Apr-03,08:00:00 AM,372227.2457,71339.6035
17,20-Apr-03,08:15:00 AM,372502.5559,71241.2341
17,23-Apr-03,06:15:00 AM,372004.9253,70294.4591
17,23-Apr-03,06:30:00 AM,372044.7423,70273.0043
17,5-May-03,06:15:00 AM,372463.0714,70502.6195
17,5-May-03,06:45:00 AM,372469.0905,70501.1188
17,5-May-03,07:00:00 AM,372462.5872,70496.7258
17,5-May-03,07:15:00 AM,372470.7472,70500.7057
19,18-Apr-03,06:45:00 AM,372456.4724,70120.5138
19,20-Apr-03,06:15:00 AM,372574.8200,70777.6627
19,20-Apr-03,06:30:00 AM,372575.2445,70790.5213
19,20-Apr-03,06:45:00 AM,372617.7616,70587.9043
19,20-Apr-03,07:00:00 AM,372497.8209,70510.2758
19,20-Apr-03,07:15:00 AM,372465.0929,70777.5209
19,20-Apr-03,07:30:00 AM,372496.4897,70725.2679
19,20-Apr-03,07:45:00 AM,372397.4905,70928.7497
19,20-Apr-03,08:00:00 AM,372501.5964,70970.4968
19,23-Apr-03,06:15:00 AM,372567.4545,70148.3473
19,5-May-03,06:45:00 AM,372554.9581,70153.1541
19,5-May-03,07:00:00 AM,372644.4688,70002.4849
19,5-May-03,07:15:00 AM,372977.4829,69715.6168
19,5-May-03,08:15:00 AM,373381.8676,67793.0914
19,8-May-03,06:15:00 AM,372452.1536,70005.5834
19,8-May-03,06:30:00 AM,372370.5497,70198.9051
19,8-May-03,06:45:00 AM,372327.4625,70270.6143
19,8-May-03,07:00:00 AM,372513.1088,69850.2176
19,8-May-03,07:15:00 AM,372426.7498,70219.5646
19,8-May-03,07:30:00 AM,372475.5139,69235.9930
19,8-May-03,08:00:00 AM,372555.3090,69691.7792
19,9-May-03,06:15:00 AM,372473.6264,70237.3756
19,9-May-03,06:30:00 AM,372547.0068,70203.3571
19,15-May-03,06:15:00 AM,372547.5956,69746.7550
19,15-May-03,06:30:00 AM,372517.3521,69954.5850
19,15-May-03,06:45:00 AM,372366.1315,67255.3429
19,15-May-03,07:00:00 AM,372176.2270,68850.5596
